Depot_ID,Latitude,Longitude
Depot_0,52.2472,1.155
Depot_1,54.392,-1.3094
Depot_2,50.9361,-4.408
Depot_3,50.3485,0.5632
Depot_4,53.6067,-0.5435
Depot_5,50.1235,1.2894
Depot_6,54.9947,-4.0136
Depot_7,51.0909,-4.2162
Depot_8,51.8255,-1.8267
Depot_9,52.5917,-3.4614
Depot_10,53.6711,-4.5235
Depot_11,51.7529,-2.9355
Depot_12,52.7364,-0.0038
Depot_13,51.198,-1.9004
Depot_14,53.5545,-5.1748
Depot_15,53.6453,-4.3063
Depot_16,50.3903,1.1422
Depot_17,55.7938,0.1588
Depot_18,51.8277,-4.8163
Depot_19,54.1054,-2.4189
Depot_20,50.7322,-2.0338
Depot_21,50.2063,0.8652
Depot_22,51.5527,-0.8623
Depot_23,51.8703,-1.8595
Depot_24,53.2803,-4.206
Depot_25,55.8175,-0.0741
Depot_26,55.637,0.7638
Depot_27,53.5874,0.9531
Depot_28,50.531,-4.1281
Depot_29,50.2714,-3.2227
Depot_30,52.3321,-3.6006
Depot_31,54.9724,-3.0027
Depot_32,51.6856,-1.7011
Depot_33,50.8455,0.1154
Depot_34,50.4473,1.4082
Depot_35,54.6335,-4.109
Depot_36,50.0331,0.2082
Depot_37,54.2411,-0.3969
Depot_38,54.6276,-4.9817
Depot_39,52.1508,-4.6889
Depot_40,55.1786,-1.1369
Depot_41,51.9854,-5.0551
Depot_42,51.8659,-3.2237
Depot_43,54.3776,-1.0371
Depot_44,55.3233,-2.1945
Depot_45,50.7176,-0.5073
Depot_46,54.5647,-1.5711
Depot_47,54.6258,-2.0434
Depot_48,53.1364,-2.5072
Depot_49,50.1525,-4.7448
