Source_Depot,Destination_Depot,Road_Type,Distance_km,Vehicle_Load_ton,Emission_Zone,HGV_Restricted,Toll_Road,Toll_Cost_GBP,Accident_Risk_Flag,Estimated_Time_Min
Depot_0,Depot_20,2,278.28,18.44,0,0,0,0.0,0,347.85
Depot_0,Depot_30,2,324.57,11.16,0,0,0,0.0,0,405.71
Depot_0,Depot_29,1,376.33,18.21,0,0,0,0.0,0,352.81
Depot_1,Depot_31,1,126.89,18.25,0,0,0,0.0,1,118.96
Depot_1,Depot_13,0,357.66,8.42,0,0,1,10.8,0,268.25
Depot_1,Depot_14,2,270.18,11.26,0,0,0,0.0,1,337.73
Depot_1,Depot_23,1,283.04,8.28,0,0,0,0.0,0,265.35
Depot_2,Depot_33,1,318.39,15.44,0,0,1,10.8,0,298.49
Depot_2,Depot_11,1,137.05,12.54,0,0,1,10.8,0,128.48
Depot_2,Depot_29,1,111.84,12.96,0,0,0,0.0,0,104.85
Depot_2,Depot_46,2,446.84,8.63,1,0,1,10.8,0,558.55
Depot_2,Depot_30,2,165.07,6.35,1,0,0,0.0,0,206.34
Depot_3,Depot_8,2,234.58,8.3,0,0,0,0.0,0,293.23
Depot_3,Depot_45,0,86.29,15.36,0,1,0,0.0,0,64.72
Depot_3,Depot_4,0,370.41,8.14,0,0,0,0.0,0,277.81
Depot_3,Depot_7,0,347.41,12.75,0,1,1,10.8,0,260.56
Depot_3,Depot_44,2,583.85,7.83,0,0,0,0.0,0,729.81
Depot_4,Depot_28,1,421.24,16.7,0,0,0,0.0,0,394.91
Depot_4,Depot_9,1,225.72,5.14,0,0,0,0.0,0,211.61
Depot_4,Depot_23,1,212.68,12.28,0,1,0,0.0,0,199.39
Depot_4,Depot_25,1,247.95,9.88,0,0,0,0.0,0,232.45
Depot_5,Depot_25,0,640.21,13.14,0,0,0,0.0,0,480.16
Depot_5,Depot_42,1,371.34,10.9,1,0,0,0.0,0,348.13
Depot_5,Depot_1,2,506.94,12.39,0,0,0,0.0,0,633.67
Depot_6,Depot_1,0,186.82,5.65,1,0,0,0.0,0,140.11
Depot_6,Depot_34,0,624.33,19.3,0,0,0,0.0,1,468.25
Depot_6,Depot_17,2,278.9,9.59,0,0,0,0.0,0,348.62
Depot_7,Depot_9,1,174.9,19.04,0,0,0,0.0,0,163.97
Depot_7,Depot_41,1,115.29,10.38,0,0,0,0.0,0,108.08
Depot_7,Depot_24,0,243.62,15.54,0,0,0,0.0,0,182.72
Depot_7,Depot_1,0,416.43,14.17,0,0,0,0.0,0,312.32
Depot_7,Depot_11,1,115.59,16.94,1,0,0,0.0,0,108.37
Depot_8,Depot_33,2,173.79,15.08,0,0,1,10.8,0,217.24
Depot_8,Depot_45,1,153.85,5.46,0,0,0,0.0,0,144.23
Depot_8,Depot_49,0,276.76,17.42,0,1,0,0.0,0,207.57
Depot_9,Depot_34,1,413.58,13.11,0,0,1,10.8,0,387.73
Depot_9,Depot_27,1,315.77,5.62,0,0,0,0.0,0,296.03
Depot_9,Depot_26,1,437.15,19.44,1,0,0,0.0,0,409.83
Depot_9,Depot_4,0,225.72,11.64,0,0,0,0.0,1,169.29
Depot_9,Depot_22,0,212.41,19.32,0,0,0,0.0,0,159.31
Depot_10,Depot_8,1,274.45,10.34,0,0,0,0.0,0,257.3
Depot_10,Depot_27,0,362.35,9.67,1,0,0,0.0,0,271.76
Depot_10,Depot_6,0,151.02,12.1,0,0,0,0.0,0,113.27
Depot_11,Depot_32,0,85.63,18.3,0,0,1,10.8,0,64.22
Depot_11,Depot_42,0,23.52,15.26,0,1,1,10.8,0,17.64
Depot_11,Depot_8,2,76.93,17.01,0,0,0,0.0,0,96.16
Depot_11,Depot_29,2,166.04,19.12,0,1,1,10.8,0,207.55
Depot_11,Depot_10,0,238.9,8.22,0,0,0,0.0,0,179.18
Depot_12,Depot_31,1,317.56,9.78,1,0,0,0.0,0,297.71
Depot_12,Depot_39,1,325.11,15.45,0,0,0,0.0,0,304.79
