source,destination,src_index,dst_index,traversals,segment_km,allocated_km,delta_lat,delta_lon,src_lat,src_lon,dst_lat,dst_lon,log_traversals,src_out_degree,dst_in_degree,mean_avg_speed_kmh,mean_traffic_delay_minutes,mean_weather_delay_minutes,mean_vehicle_max_weight_kg,mean_vehicle_length_m,mean_vehicle_width_m,mean_vehicle_height_m,mean_cargo_volume_m3,mean_cargo_weight_kg,mean_load_factor,mean_breaks_required,share_peak_season,share_weekend,share_compliant,share_adverse_weather,target_cheapest,target_fastest,target_greenest
Glasgow Central,A1 Scotch Corner,19,0,13.0,231.23880205302052,287.1478218274302,1.4608999999999952,2.5896000000000003,55.8642,-4.2518,54.4033,-1.6622,2.6390573296152584,155.0,49.0,59.87692307692308,7.346153846153846,1.8461538461538463,31846.153846153848,13.615384615384615,2.523076923076923,3.8230769230769233,76.15384615384616,20852.615384615383,0.6273846153846154,1.5384615384615385,0.23076923076923078,0.38461538461538464,1.0,0.07692307692307693,568.0502808182856,5.416137716831908,238.54864665978195
A1 Scotch Corner,Wetherby Services,0,63,13.0,54.12942106202422,67.21685641312138,0.45889999999999986,0.27749999999999986,54.4033,-1.6622,53.9444,-1.3847,2.6390573296152584,49.0,280.0,59.87692307692308,7.346153846153846,1.8461538461538463,31846.153846153848,13.615384615384615,2.523076923076923,3.8230769230769233,76.15384615384616,20852.615384615383,0.6273846153846154,1.5384615384615385,0.23076923076923078,0.38461538461538464,1.0,0.07692307692307693,132.97177014333369,1.2678339292602097,55.840542435705416
Wetherby Services,Knutsford Services,63,23,17.0,98.8091632903438,126.58946079619099,0.6454999999999984,1.0297,53.9444,-1.3847,53.2989,-2.4144,2.8903717578961645,280.0,242.0,61.876470588235286,6.582352941176471,13.117647058823529,29058.823529411766,12.617647058823529,2.514705882352941,3.7529411764705873,69.70588235294117,18127.058823529413,0.6076470588235295,1.411764705882353,0.35294117647058826,0.5294117647058824,1.0,0.23529411764705882,247.38103252302093,2.2964149404557372,104.41731433401381
Knutsford Services,Liverpool Port,23,27,25.0,40.48202716372351,50.787043996873805,0.10639999999999361,0.5832999999999999,53.2989,-2.4144,53.4053,-2.9977,3.258096538021482,242.0,161.0,62.624,6.544,4.88,39360.0,15.34,2.537999999999999,3.94,89.4,24173.04,0.6141199999999999,0.6,0.4,0.28,1.0,0.2,101.47769503205325,0.8732138742035656,42.75259204004231
Newcastle Hub,Wetherby Services,39,63,31.0,115.94737432051855,145.17457684194608,1.0338999999999956,0.23309999999999986,54.9783,-1.6178,53.9444,-1.3847,3.4657359027997265,174.0,280.0,61.33548387096772,7.3903225806451625,5.354838709677419,33935.48387096774,14.064516129032258,2.5258064516129024,3.864516129032257,79.35483870967742,20417.483870967742,0.5916451612903225,0.6774193548387096,0.12903225806451613,0.1935483870967742,0.9032258064516129,0.22580645161290322,287.17251538990166,2.5948976064248988,123.20042531739928
Wetherby Services,York,63,66,41.0,19.537172924827622,24.605768949481906,0.01559999999999917,0.2974000000000001,53.9444,-1.3847,53.96,-1.0873,3.7376696182833684,280.0,218.0,62.085365853658544,3.931707317073171,2.6097560975609757,32439.024390243903,13.597560975609756,2.523170731707316,3.819512195121951,76.46341463414635,19142.170731707316,0.5795365853658538,0.36585365853658536,0.24390243902439024,0.1951219512195122,0.975609756097561,0.12195121951219512,48.17419364201898,0.41689335029146507,20.836792234321837
York,M62 J26 Chain Bar,66,34,11.0,45.75521882697473,57.35553328832539,0.23029999999999973,0.5780000000000001,53.96,-1.0873,53.7297,-1.6653,2.4849066497880004,218.0,309.0,61.66363636363636,2.3454545454545457,8.454545454545455,32727.272727272728,13.5,2.522727272727273,3.809090909090909,76.81818181818181,20320.909090909092,0.5972727272727272,0.9090909090909091,0.09090909090909091,0.18181818181818182,0.9090909090909091,0.36363636363636365,114.48506853716212,1.0436029287155035,50.680247666232894
M62 J26 Chain Bar,Leeds Central,34,25,22.0,10.992502188240282,13.863225874124765,0.07110000000000127,0.11620000000000008,53.7297,-1.6653,53.8008,-1.5491,3.1354942159291497,309.0,160.0,62.47727272727273,5.918181818181818,1.1818181818181819,32545.454545454544,13.568181818181818,2.520454545454545,3.8409090909090904,75.68181818181819,20503.68181818182,0.621909090909091,0.36363636363636365,0.13636363636363635,0.3181818181818182,0.8636363636363636,0.045454545454545456,27.232903548255408,0.22875358214694075,12.081056837061658
Portsmouth Port,Leicester Forest East,45,26,7.0,201.7695388180471,255.14895831379673,1.8141999999999996,0.05790000000000006,50.8025,-1.1088,52.6167,-1.1667,2.0794415416798357,168.0,425.0,62.52857142857143,9.171428571428573,0.0,31142.85714285714,13.357142857142858,2.5214285714285714,3.8000000000000003,73.57142857142857,19211.571428571428,0.6251428571428571,1.0,0.14285714285714285,0.42857142857142855,0.5714285714285714,0.0,505.414206677689,4.606726964417416,210.99268191843248
Leicester Forest East,iPort Doncaster,26,67,7.0,98.14299887897435,126.45429405611733,0.8771999999999949,0.1625000000000001,52.6167,-1.1667,53.4939,-1.0042,2.0794415416798357,425.0,175.0,61.98571428571428,7.314285714285714,3.0,29714.285714285714,13.071428571428571,2.521428571428572,3.757142857142857,72.14285714285714,16751.571428571428,0.5867142857142857,0.8571428571428571,0.14285714285714285,0.14285714285714285,1.0,0.14285714285714285,268.6120512344372,2.2929179324152784,107.21110981139289
