name,index,lat,lon,out_degree,in_degree,log_traversals,mean_speed_kmh,mean_traffic_delay_min,mean_weather_delay_min,mean_load_factor,share_peak_season,share_weekend,is_waypoint_only
A1 Scotch Corner,0,54.4033,-1.6622,49.0,49.0,4.59511985013459,62.32040816326532,5.4755102040816315,3.673469387755102,0.655734693877551,0.16326530612244897,0.30612244897959184,1.0
A1/A14 Junction,1,52.3333,-0.25,259.0,259.0,6.251903883165888,62.37027027027028,6.42818532818533,5.467181467181467,0.6455521235521234,0.1969111969111969,0.3088803088803089,1.0
Birmingham Central,2,52.4862,-1.8904,161.0,180.0,5.834810737062605,62.39912023460411,6.909970674486801,6.331378299120234,0.6454604105571844,0.2434017595307918,0.3196480938416422,0.0
Bristol DC,3,51.4545,-2.5879,160.0,175.0,5.817111159963204,62.20417910447762,6.477910447761194,5.062686567164179,0.6408835820895523,0.22388059701492538,0.3253731343283582,0.0
Bristol Port,4,51.5103,-2.7139,171.0,167.0,5.82600010738045,62.25828402366866,6.909467455621302,4.961538461538462,0.6342928994082837,0.20710059171597633,0.2781065088757396,0.0
Cambridge,5,52.2053,0.1218,115.0,115.0,5.442417710521793,62.346956521739095,7.027826086956521,5.6,0.652078260869565,0.23478260869565218,0.30434782608695654,1.0
Cardiff Bay,6,51.4816,-3.1791,186.0,183.0,5.91350300563827,62.42249322493223,7.372899728997292,5.102981029810298,0.6412818428184277,0.1897018970189702,0.2899728997289973,0.0
Carlisle,7,54.8951,-2.9382,15.0,15.0,3.4339872044851463,62.593333333333355,3.02,0.0,0.6257333333333334,0.13333333333333333,0.26666666666666666,1.0
Charnock Richard,8,53.6308,-2.6969,172.0,172.0,5.84354441703136,62.217441860465165,5.968023255813952,6.023255813953488,0.6357616279069771,0.21511627906976744,0.29069767441860467,1.0
Chester,9,53.1935,-2.8938,179.0,179.0,5.883322388488279,62.50167597765369,7.391620111731842,6.754189944134078,0.641145251396647,0.24022346368715083,0.29608938547486036,1.0
Coventry,10,52.4068,-1.5197,520.0,520.0,6.947937068614969,62.461923076923036,6.8878846153846105,6.259615384615385,0.6417865384615385,0.17115384615384616,0.2692307692307692,1.0
DIRFT Daventry,11,52.2574,-1.1606,163.0,168.0,5.805134968916488,62.15770392749243,8.473716012084594,6.827794561933535,0.631945619335347,0.18429003021148035,0.3081570996978852,0.0
Derby,12,52.9226,-1.4746,391.0,391.0,6.663132695990803,62.094373401534455,6.9304347826086925,6.797953964194374,0.6458337595907937,0.2557544757033248,0.31202046035805625,1.0
Doncaster iPort,13,53.5031,-1.0478,200.0,169.0,5.91350300563827,62.40406504065043,7.935501355013552,6.710027100271002,0.6253658536585366,0.2140921409214092,0.24390243902439024,0.0
Dover Port,14,51.1279,1.3134,168.0,180.0,5.855071922202427,62.46752873563214,7.310344827586208,4.997126436781609,0.6507327586206895,0.23563218390804597,0.27873563218390807,0.0
East Midlands Gateway,15,52.8313,-1.3283,156.0,178.0,5.814130531825066,62.34820359281439,6.736227544910179,5.8053892215568865,0.635251497005988,0.23652694610778444,0.2904191616766467,0.0
Edinburgh Hub,16,55.9533,-3.1883,167.0,153.0,5.771441123130016,62.33343749999999,7.794062500000001,5.653125,0.6506343749999995,0.215625,0.284375,0.0
Felixstowe Port,17,51.9567,1.3511,160.0,160.0,5.771441123130016,62.6259375,7.004374999999999,5.446875,0.636171875,0.196875,0.30625,0.0
Frankley Services,18,52.4228,-2.0208,300.0,300.0,6.398594934535208,62.27166666666679,6.4396666666666675,6.99,0.6439700000000012,0.2633333333333333,0.29333333333333333,1.0
Glasgow Central,19,55.8642,-4.2518,155.0,169.0,5.783825182329737,62.39537037037039,5.303703703703706,4.015432098765432,0.6432839506172836,0.19444444444444445,0.2716049382716049,0.0
Grimsby Port,20,53.575,-0.075,143.0,166.0,5.736572297479192,62.66537216828481,6.823300970873788,5.82200647249191,0.6361229773462783,0.22330097087378642,0.2524271844660194,0.0
Hopwood Park,21,52.3539,-2.0644,295.0,295.0,6.3818160174060985,62.536610169491645,6.8308474576271125,6.274576271186441,0.6306610169491527,0.19322033898305085,0.2677966101694915,1.0
Hull Port,22,53.7333,-0.3167,189.0,151.0,5.831882477283517,62.16323529411761,6.803235294117647,5.064705882352941,0.6432411764705878,0.2,0.27941176470588236,0.0
Knutsford Services,23,53.2989,-2.4144,242.0,242.0,6.184148890937483,62.95785123966941,6.412809917355372,5.553719008264463,0.6443057851239674,0.2190082644628099,0.2396694214876033,1.0
Lancaster,24,54.0469,-2.801,125.0,125.0,5.5254529391317835,62.92720000000007,6.484800000000001,5.104,0.6458239999999992,0.224,0.296,1.0
Leeds Central,25,53.8008,-1.5491,177.0,160.0,5.823045895483019,62.322255192878345,5.68872403560831,5.032640949554896,0.6284569732937685,0.2344213649851632,0.2997032640949555,0.0
Leicester Forest East,26,52.6167,-1.1667,425.0,425.0,6.7464121285733745,62.29411764705876,6.416470588235292,4.668235294117647,0.6367811764705872,0.1811764705882353,0.28,1.0
Liverpool Port,27,53.4053,-2.9977,167.0,161.0,5.796057750765372,62.792682926829336,7.141768292682929,6.097560975609756,0.6601310975609754,0.2530487804878049,0.3323170731707317,0.0
London Central,28,51.5074,-0.1278,178.0,156.0,5.814130531825066,62.71407185628745,7.129341317365269,5.473053892215569,0.6347994011976041,0.20359281437125748,0.2874251497005988,0.0
London Gateway DC,29,51.5086,0.4367,153.0,172.0,5.786897381366708,61.94061538461542,6.9683076923076905,4.313846153846153,0.6390707692307689,0.19384615384615383,0.28,0.0
