route_id,origin,origin_lat,origin_lon,origin_type,destination,destination_lat,destination_lon,destination_type,waypoint_1,waypoint_1_lat,waypoint_1_lon,waypoint_2,waypoint_2_lat,waypoint_2_lon,waypoint_3,waypoint_3_lat,waypoint_3_lon,distance_miles,vehicle_type,vehicle_capacity_tons,cargo_type,cargo_weight_tons,pickup_datetime,delivery_datetime,estimated_duration_hours,fuel_cost_gbp,total_cost_gbp,co2_emissions_kg,priority,driver_id,pickup_hour,pickup_day_of_week,pickup_day_name,is_weekend,is_peak_hour,weather_condition,traffic_condition,delay_risk,on_time,actual_duration_hours,customer_rating,route_efficiency,capacity_utilization,cost_per_mile,origin_is_major_city,destination_is_major_city,origin_is_port,destination_is_port,origin_is_distribution,destination_is_distribution,origin_is_city,destination_is_city,origin_is_junction,destination_is_junction,is_long_haul,is_express,is_heavy_cargo,origin_centrality,destination_centrality,weather_risk,traffic_risk,overall_risk,distance_miles_normalized,cargo_weight_tons_normalized,estimated_duration_hours_normalized,fuel_cost_gbp_normalized,total_cost_gbp_normalized,co2_emissions_kg_normalized,capacity_utilization_normalized,cost_per_mile_normalized,route_efficiency_normalized
UK_00000,Luton,51.8787,-0.42,city,Tilbury,51.4545,0.3584,port,Preston,53.7632,-2.7031,,,,,,,485.6,HGV_44t,26,E-commerce,11.45,7/12/2025 16:54,7/13/2025 7:03,14.15,704.08,1089.64,205.2,Next-Day,DRV_6050,16,5,Saturday,1,0,Cloudy,Moderate,0.1,TRUE,14.40811864,5,0.9817584,0.440384615,2.243904448,0,0,0,1,0,0,1,0,0,0,1,1,1,0.5,0.5,0.2,0.3,0.2,-0.18566355,0.034472918,0.051611969,0.088778743,-0.01584483,-0.552708208,-0.926890899,0.390181064,0.534741823
UK_00001,Liverpool,53.4084,-2.9916,major_city,Aberdeen,57.1497,-2.0943,port,Brighton,50.8225,-0.1372,,,,,,,914.8,HGV_44t,26,Electronics,22.87,8/3/2025 0:07,8/4/2025 4:40,28.55,1326.42,2029.82,772.6,Standard,DRV_4410,0,6,Sunday,1,0,Cloudy,Moderate,0.1,FALSE,32.54207676,3,0.860172443,0.879615385,2.218867512,1,0,0,1,0,0,0,0,0,0,1,0,1,0.8,0.5,0.2,0.3,0.2,1.371691306,1.960070474,2.006004142,1.727780718,1.730002245,2.476957514,1.619511282,0.320750591,-0.378318162
UK_00002,Liverpool,53.4084,-2.9916,major_city,Birmingham,52.4862,-1.8904,major_city,Bath,51.3758,-2.3599,,,,,,,295.3,HGV_32t,20,General Freight,9.44,7/29/2025 16:19,7/29/2025 23:43,7.39,369.11,698.34,133.8,Next-Day,DRV_9673,16,1,Tuesday,0,0,Cloudy,Light,0.1,TRUE,7.842913175,5,0.938712696,0.472,2.364849306,1,1,0,0,0,0,0,0,0,0,1,1,0,0.8,0.9,0.2,0.1,0.133333333,-0.876168277,-0.304445742,-0.86586658,-0.793402205,-0.742460967,-0.933952713,-0.743603457,0.725575887,0.211486485
UK_00003,Rugby,52.3708,-1.2651,distribution,Edinburgh,55.9533,-3.1883,major_city,Blackpool,53.8175,-3.0357,,,,,,,349.5,HGV_32t,20,Temperature Controlled,16.34,7/16/2025 6:56,7/16/2025 16:03,9.12,436.86,749.98,274.2,Same-Day,DRV_1301,6,2,Wednesday,0,0,Cloudy,Light,0.1,TRUE,9.825731028,4,0.922617212,0.817,2.145865522,0,1,0,0,1,0,0,0,0,0,1,1,1,0.5,0.8,0.2,0.1,0.133333333,-0.679503242,0.859006372,-0.631068076,-0.614975005,-0.646569177,-0.184278643,1.256504036,0.118307181,0.090616089
UK_00004,Manchester,53.4808,-2.2426,major_city,Felixstowe,51.9567,1.3511,port,Sheffield,53.3811,-1.4701,Ipswich,52.0567,1.1482,,,,235.2,HGV_32t,20,Electronics,13.01,7/22/2025 16:12,7/22/2025 21:51,5.65,294.02,516.06,146.8,Standard,DRV_1509,16,1,Tuesday,0,0,Fog,Light,0.4,FALSE,7.904833568,3,0.600914413,0.6505,2.194132653,1,0,0,1,0,0,0,0,0,0,1,0,1,0.9,1,0.7,0.1,0.4,-1.094241499,0.297514265,-1.102022301,-0.991160116,-1.080941901,-0.864538447,0.291234768,0.252157814,-2.325238165
UK_00005,Tilbury,51.4545,0.3584,port,Scotch Corner,54.4033,-1.6622,junction,Belfast,54.5973,-5.9301,Plymouth,50.3755,-4.1427,,,,1134.7,HGV_18t,12,Textiles,7.95,7/12/2025 13:54,7/13/2025 17:28,27.57,1248.15,1967.19,721.6,Next-Day,DRV_9164,13,5,Saturday,1,0,Cloudy,Moderate,0.1,TRUE,27.92159535,5,0.987247176,0.6625,1.733665286,0,0,1,0,0,0,0,0,0,1,1,1,0,0.5,0.5,0.2,0.3,0.2,2.169599817,-0.555683952,1.872996897,1.521647922,1.613702811,2.20464001,0.360803724,-1.024774284,0.575960248
UK_00006,Doncaster,53.5228,-1.1288,distribution,Reading,51.4543,-0.9781,city,Newcastle,54.9783,-1.6178,,,,,,,436,HGV_44t,26,Construction Materials,18,8/1/2025 4:12,8/1/2025 16:12,12,632.23,1031.19,289.8,Standard,DRV_7154,4,4,Friday,0,0,Fog,Moderate,0.4,TRUE,11.32028089,4,1,0.692307692,2.365114679,0,0,0,0,1,0,0,1,0,0,1,0,1,0.5,0.5,0.7,0.3,0.466666667,-0.365637457,1.138909344,-0.240189641,-0.100446265,-0.124382303,-0.100981524,0.533611227,0.726311799,0.671728652
UK_00007,Leicester,52.6369,-1.1398,major_city,Middlesbrough,54.5742,-1.235,city,Cardiff,51.4816,-3.1791,,,,,,,452.2,HGV_44t,26,Textiles,10.13,7/26/2025 14:17,7/27/2025 3:30,13.21,655.76,1103.61,169.1,Next-Day,DRV_3030,14,5,Saturday,1,0,Heavy Rain,Light,0.4,TRUE,13.7810943,5,0.956768032,0.389615385,2.440535161,1,0,0,0,0,0,0,1,0,0,1,1,1,0.5,0.5,0.6,0.1,0.366666667,-0.306855656,-0.18810053,-0.075966409,-0.038477379,0.010096462,-0.745466284,-1.221221099,0.935461984,0.347074547
UK_00008,Nottingham,52.9548,-1.1581,major_city,Gloucester,51.8642,-2.2446,city,Oxford,51.752,-1.2577,,,,,,,157,HGV_44t,26,Pharmaceuticals,19.74,7/21/2025 15:13,7/21/2025 19:44,4.52,227.6,474.79,114.4,Next-Day,DRV_5509,15,0,Monday,0,0,Light Rain,Moderate,0.1,TRUE,4.332437787,5,1,0.759230769,3.024140127,1,0,0,0,0,0,0,1,0,0,0,1,1,0.5,0.5,0.3,0.3,0.233333333,-1.377990683,1.432301617,-1.255387798,-1.166084613,-1.157577342,-1.037540156,0.921591945,2.553869643,0.671728652
UK_00009,Peterborough,52.5695,-0.2405,distribution,Sunderland,54.9069,-1.3838,city,Felixstowe,51.9567,1.3511,,,,,,,399.5,HGV_32t,20,E-commerce,14.57,7/12/2025 10:38,7/12/2025 21:53,11.24,499.36,884.31,279.3,Next-Day,DRV_3614,10,5,Saturday,1,0,Cloudy,Moderate,0.1,TRUE,11.99350952,4,0.932961787,0.7285,2.213541927,0,0,0,0,1,0,0,1,0,0,1,1,1,0.5,0.5,0.2,0.3,0.2,-0.498077933,0.560555612,-0.343338117,-0.450374267,-0.397127967,-0.157046893,0.743432983,0.305982096,0.168299544
