route_id,origin_name,origin_location,origin_latitude,origin_longitude,destination_name,destination_location,destination_latitude,destination_longitude,waypoints_json,waypoint_count,distance_km,estimated_driving_time_hours,total_time_hours,breaks_required,avg_speed_kmh,vehicle_type,vehicle_max_weight_kg,vehicle_height_m,vehicle_width_m,vehicle_length_m,cargo_volume_m3,euro_standard,cargo_weight_kg,load_factor,cargo_type,fuel_consumption_liters,co2_emissions_kg,nox_emissions_g,pm_emissions_g,emissions_per_km_kg,fuel_cost_gbp,driver_cost_gbp,vehicle_cost_gbp,insurance_cost_gbp,maintenance_cost_gbp,caz_cost_gbp,toll_cost_gbp,hgv_levy_gbp,lez_cost_gbp,total_cost_gbp,cost_per_km_gbp,efficiency_score,fuel_efficiency_actual_kmpl,on_time_delivery,customer_satisfaction_1_5,optimization_objective,traffic_delay_minutes,weather_condition,weather_delay_minutes,month,day_of_week,is_peak_season,is_weekend,route_compliant,bridge_restrictions,weight_restrictions,data_source,generation_timestamp,dataset_version
RT000001,Glasgow Central,Glasgow,55.8642,-4.2518,Liverpool Port,Liverpool,53.4053,-2.9977,"[{""lat"": 54.4033, ""lon"": -1.6622, ""name"": ""A1 Scotch Corner"", ""type"": ""junction""}, {""lat"": 53.9444, ""lon"": -1.3847, ""name"": ""Wetherby Services"", ""type"": ""service_area""}, {""lat"": 53.2989, ""lon"": -2.4144, ""name"": ""Knutsford Services"", ""type"": ""service_area""}]",3,570.2,9.68,11.18,2,58.9,Articulated 6-Axle,44000,4,2.55,16.5,100,Euro VI,37545,0.853,metals,164.19,440.03,1060.327,19.1828,0.772,243,184.41,507.49,68.43,85.53,0,15.53,10,0,1114.4,1.954,90.85,3.47,Yes,4,balanced,0,clear,0,6,7,No,Yes,Yes,None,None,Synthetic - UK Logistics Research,2025-07-10T12:44:22.427880,2
RT000002,Newcastle Hub,Newcastle,54.9783,-1.6178,Leeds Central,Leeds,53.8008,-1.5491,"[{""lat"": 53.9444, ""lon"": -1.3847, ""name"": ""Wetherby Services"", ""type"": ""service_area""}, {""lat"": 53.96, ""lon"": -1.0873, ""name"": ""York"", ""type"": ""intermediate""}, {""lat"": 53.7297, ""lon"": -1.6653, ""name"": ""M62 J26 Chain Bar"", ""type"": ""junction""}]",3,229.5,3.59,3.59,0,63.9,Rigid 2-Axle,18000,3.5,2.5,10,50,Euro VI,8918,0.495,electronics,74.39,199.37,451.26,8.2486,0.869,110.1,59.26,204.28,27.54,34.43,0,0,10,0,445.62,1.941,69.37,3.09,Yes,4.8,balanced,0,light_rain,0,9,3,No,No,Yes,None,None,Synthetic - UK Logistics Research,2025-07-10T12:44:22.428054,2
RT000003,Portsmouth Port,Portsmouth,50.8025,-1.1088,iPort Doncaster,Doncaster,53.4939,-1.0042,"[{""lat"": 52.6167, ""lon"": -1.1667, ""name"": ""Leicester Forest East"", ""type"": ""service_area""}]",1,401.7,6.77,7.52,1,59.3,Rigid 2-Axle,18000,3.5,2.5,10,50,Euro VI,10515,0.584,food,117.65,315.3,515.974,11.9224,0.785,174.12,124.1,357.47,48.2,60.25,0,19.49,10,0,793.63,1.976,85.14,3.41,Yes,3.5,fastest,42.3,light_rain,0,3,6,No,Yes,Yes,None,18t limit,Synthetic - UK Logistics Research,2025-07-10T12:44:22.428211,2
RT000004,Edinburgh Hub,Edinburgh,55.9533,-3.1883,Sheffield Hub,Sheffield,53.3811,-1.4701,"[{""lat"": 53.9444, ""lon"": -1.3847, ""name"": ""Wetherby Services"", ""type"": ""service_area""}, {""lat"": 53.2989, ""lon"": -2.4144, ""name"": ""Knutsford Services"", ""type"": ""service_area""}]",2,511.4,9.03,10.53,2,56.6,Rigid 2-Axle,18000,3.5,2.5,10,50,Euro VI,14475,0.804,retail,152.75,409.38,921.32,14.5858,0.801,226.08,173.72,455.12,61.36,76.71,0,10.07,10,0,1013.05,1.981,55.28,3.35,Yes,4.2,cheapest,0,fog,42,2,2,No,No,Yes,None,None,Synthetic - UK Logistics Research,2025-07-10T12:44:22.428360,2
RT000005,London Central,London,51.5074,-0.1278,Liverpool Port,Liverpool,53.4053,-2.9977,"[{""lat"": 52.3708, ""lon"": -1.2651, ""name"": ""Rugby"", ""type"": ""intermediate""}, {""lat"": 52.8066, ""lon"": -2.1167, ""name"": ""Stafford"", ""type"": ""intermediate""}]",2,347.9,5.01,5.76,1,69.5,Rigid 4-Axle,32000,3.8,2.5,12,70,Euro V,25227,0.788,machinery,106.1,284.35,619.869,12.683,0.817,157.03,95.01,309.62,41.75,52.18,0,16.52,10,100,782.1,2.248,69.15,3.28,Yes,4.8,cheapest,0,light_rain,0,8,7,No,Yes,Yes,None,None,Synthetic - UK Logistics Research,2025-07-10T12:44:22.428513,2
RT000006,Trafford Park DC,Manchester,53.4668,-2.3141,Hull Port,Hull,53.7333,-0.3167,"[{""lat"": 53.7632, ""lon"": -2.7031, ""name"": ""Preston"", ""type"": ""intermediate""}, {""lat"": 53.1417, ""lon"": -1.3389, ""name"": ""Tibshelf Services"", ""type"": ""service_area""}]",2,314.6,5.61,6.36,1,56.1,Articulated 6-Axle,44000,4,2.55,16.5,100,Euro VI,21944,0.499,pharmaceuticals,89.25,239.2,434.485,6.9935,0.76,132.1,104.88,279.98,37.75,47.19,0,7.01,10,0,618.91,1.967,91.46,3.52,Yes,4.8,balanced,27.9,heavy_rain,11,9,3,No,No,Yes,None,None,Synthetic - UK Logistics Research,2025-07-10T12:44:22.428658,2
RT000007,DIRFT Daventry,Daventry,52.2574,-1.1606,Omega Warrington,Warrington,53.429,-2.6542,"[{""lat"": 52.6336, ""lon"": -1.691, ""name"": ""Tamworth"", ""type"": ""intermediate""}, {""lat"": 53.1417, ""lon"": -1.3389, ""name"": ""Tibshelf Services"", ""type"": ""service_area""}]",2,272,4.81,5.56,1,56.5,Rigid 2-Axle,18000,3.5,2.5,10,50,Euro VI,12237,0.68,textiles,78.37,210.04,483.278,9.3121,0.772,115.99,91.76,242.07,32.64,40.8,0,0,10,0,533.26,1.961,67.86,3.47,Yes,4.5,fastest,25.7,cloudy,0,5,7,No,Yes,Yes,None,None,Synthetic - UK Logistics Research,2025-07-10T12:44:22.428804,2
RT000008,Cardiff Bay,Cardiff,51.4816,-3.1791,London Gateway DC,Stanford-le-Hope,51.5086,0.4367,"[{""lat"": 52.5861, ""lon"": -2.1289, ""name"": ""Wolverhampton"", ""type"": ""intermediate""}, {""lat"": 52.3708, ""lon"": -1.2651, ""name"": ""Rugby"", ""type"": ""intermediate""}, {""lat"": 51.4736, ""lon"": -0.5083, ""name"": ""M25 J15 (M4)"", ""type"": ""junction""}]",3,441.7,7.88,8.63,1,56,Rigid 4-Axle,32000,3.8,2.5,12,70,Euro V,25029,0.782,metals,131.33,351.96,536.613,12.6866,0.797,194.36,142.45,393.09,53,66.25,0,9.4,10,100,968.56,2.193,60.87,3.36,Yes,4.8,cheapest,15.2,clear,0,10,6,No,Yes,Yes,None,18t limit,Synthetic - UK Logistics Research,2025-07-10T12:44:22.428970,2
RT000009,ProLogis Park DC,Birmingham,52.5031,-1.7764,Dover Port,Dover,51.1279,1.3134,"[{""lat"": 52.8066, ""lon"": -2.1167, ""name"": ""Stafford"", ""type"": ""intermediate""}, {""lat"": 51.752, ""lon"": -1.2577, ""name"": ""Oxford"", ""type"": ""intermediate""}]",2,447.6,6.43,7.18,1,69.6,Rigid 3-Axle,26000,3.8,2.5,12,65,Euro VI,11489,0.442,retail,154.36,413.69,706.114,14.2302,0.924,228.46,118.46,398.39,53.72,67.14,0,11.83,10,0,888,1.984,81.18,2.9,Yes,4.5,balanced,0,cloudy,0,4,2,No,No,Yes,None,None,Synthetic - UK Logistics Research,2025-07-10T12:44:22.429119,2
RT000010,London Central,London,51.5074,-0.1278,Portsmouth Port,Portsmouth,50.8025,-1.1088,"[{""lat"": 51.4543, ""lon"": -0.9781, ""name"": ""Reading"", ""type"": ""intermediate""}]",1,177.3,3.1,3.1,0,57.3,Articulated 6-Axle,44000,4,2.55,16.5,100,Euro VI,21928,0.498,machinery,58.72,157.36,250.005,5.2519,0.887,86.9,51.1,157.83,21.28,26.6,0,0,10,100,453.72,2.558,86.55,3.02,Yes,4.5,cheapest,0,clear,0,12,6,Yes,Yes,Yes,None,7.5t limit,Synthetic - UK Logistics Research,2025-07-10T12:44:22.429257,2
